2025-10-06 16:42:08.860 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 16:42:08.861 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-10-06 16:50:49.369 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 16:50:49.401 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 17748 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 16:50:49.405 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 16:50:50.028 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 16:50:50.308 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 864 ms
2025-10-06 16:50:50.629 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 16:50:50.634 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 1.543 seconds (JVM running for 2.553)
2025-10-06 16:50:53.714 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 16:50:53.715 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-10-06 17:00:32.626 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 17:00:32.657 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 14396 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 17:00:32.660 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 17:00:33.353 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 17:00:33.495 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 794 ms
2025-10-06 17:00:33.945 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 17:00:33.952 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 1.605 seconds (JVM running for 2.867)
2025-10-06 17:01:20.614 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 17:01:20.616 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-10-06 17:12:18.538 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 17:12:18.570 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 4928 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 17:12:18.578 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 17:12:19.206 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 17:12:19.370 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 764 ms
2025-10-06 17:12:19.759 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 17:12:19.767 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 1.541 seconds (JVM running for 2.744)
2025-10-06 17:12:23.911 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 17:12:23.914 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-10-06 17:17:51.213 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 17:17:51.260 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 1344 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 17:17:51.262 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 17:17:52.041 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 17:17:52.381 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1075 ms
2025-10-06 17:17:52.813 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 17:17:52.822 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 1.903 seconds (JVM running for 3.103)
2025-10-06 17:18:23.457 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 17:18:23.457 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-10-06 17:24:16.848 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 17:24:16.878 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 35744 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 17:24:16.878 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 17:24:17.570 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 17:24:17.700 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 791 ms
2025-10-06 17:24:18.181 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 17:24:18.190 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 1.635 seconds (JVM running for 2.85)
2025-10-06 17:25:22.890 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 17:25:22.890 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-10-06 17:35:58.070 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 17:35:58.101 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 22344 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 17:35:58.105 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 17:35:58.813 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 17:35:58.926 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 790 ms
2025-10-06 17:35:59.366 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
